Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Geoffrey Trousselot (Translator),9781529029581,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Little Dorrit,Charles Dickens,"","",hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,"",9780593734223,hardcover,to-read,2025/06/13,"","",0,"",,,,,,,,,"",,"",No
Romeo and Juliet,William Shakespeare,"",9780198319726,,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Republic,Plato,Desmond Lee (Translator),9780140449143,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Yellowface,R.F. Kuang,"",9780008532772,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Death of Ivan Ilych,Leo Tolstoy,"",9798888975961,paperback,read,2025/02/23,2026/01/24,2026/01/21-2026/01/24,1,"",,"","","","","",5.0,"<div>This is my first book I’ve read from Tolstoy. Im diagnosed with MDD. Whilst it isn’t a physical illness like Ivan had, it caused a disruption in my life which can affect people around me. How Tolstoy captures Ivan’s pov of the last few weeks he had was amazing, it shows how an illness can take over your life little by little until you draw your last breathe. It definitely changes my pov on life to just live because we all lived once and we should live our life to the fullest.</div>","","","",No
Killer Instinct,Jennifer Lynn Barnes,"",9781423168324,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Funny Story,Emily Henry,"",9780593441213,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Paper Towns,John Green,"",9780142414934,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Code of Honor,Alan Gratz,"",9780545695190,hardcover,to-read,2025/07/06,"","",0,"",,,,,,,,,"",,to-be-read,No
Oedipus Rex,Sophocles,"J.E. Thomas, Alphonse Dain, Paul Mazon",9781580495936,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Ballad of Songbirds and Snakes,Suzanne Collins,"","",digital,to-read,2025/04/28,"","",0,"",,,,,,,,,"",,"",No
Pretend She's Here,Luanne Rice,"",9781338298505,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Esperanza Rising,Pam Muñoz Ryan,"",9780439120425,paperback,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
The Naturals,Jennifer Lynn Barnes,"",9781423168232,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
All Quiet on the Western Front,Erich Maria Remarque,A.W. Wheen (Translator),9780449213940,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Poisonwood Bible,Barbara Kingsolver,"",9780060786502,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,to-be-read,Yes
On Earth We're Briefly Gorgeous,Ocean Vuong,"",9780525562023,hardcover,read,2026/01/11,2026/01/19,2026/01/10-2026/01/19,1,"",slow,N/A,"","","","",3.75,"","","","",No
The Bright Ages: A New History of Medieval Europe,"David M. Perry, Matthew Gabriele","",9780062980892,hardcover,read,2024/11/11,2024/07/10,2024/07/10,1,"",,,,,,,2.0,,"",,"",No
The Grapes of Wrath,John Steinbeck,"",9780670016907,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
A Court of Wings and Ruin,Sarah J. Maas,"",9781635575606,paperback,read,2024/11/11,2024/06/27,2024/06/27,1,"",,,,,,,5.0,,"",,"",No
The Trial,Franz Kafka,"",9781542583169,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
"Love, Theoretically",Ali Hazelwood,"",9781408725795,paperback,read,2024/11/11,2024/06/02,2024/06/02,1,"",,,,,,,5.0,,"",,"",No
Love & Gelato,Jenna Evans Welch,"",9781481432542,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
All the Bright Places,Jennifer Niven,"",9780385755887,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Tweet Cute,Emma Lord,"",9781250237323,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Tuổi Trẻ Đáng Giá Bao Nhiêu,Rosie Nguyễn,"",9786045370193,digital,to-read,2025/05/24,"","",0,"",,,,,,,,,"",,to-be-read,No
